data_hora;total;livre;percentual
08-03-2026 15:02:36;250375106560;87938961408;63.0
08-03-2026 15:02:38;250375106560;87938965504;63.0
08-03-2026 15:02:40;250375106560;87938961408;63.0
08-03-2026 15:02:42;250375106560;87938957312;63.0
08-03-2026 15:02:44;250375106560;87938949120;63.0
08-03-2026 15:02:46;250375106560;87939993600;63.0
08-03-2026 15:02:48;250375106560;87939993600;63.0
08-03-2026 15:02:50;250375106560;87939981312;63.0
08-03-2026 15:02:52;250375106560;87939960832;63.0
08-03-2026 15:02:54;250375106560;87939940352;63.0
08-03-2026 15:02:56;250375106560;87939911680;63.0
08-03-2026 15:02:58;250375106560;87939903488;63.0
08-03-2026 15:03:00;250375106560;87939895296;63.0
08-03-2026 15:03:02;250375106560;87939891200;63.0
08-03-2026 15:03:04;250375106560;87939874816;63.0
08-03-2026 15:03:06;250375106560;87939706880;63.0
08-03-2026 15:03:08;250375106560;87939678208;63.0
08-03-2026 15:03:10;250375106560;87939653632;63.0
08-03-2026 15:03:12;250375106560;87939653632;63.0
08-03-2026 15:03:14;250375106560;87939637248;63.0
08-03-2026 15:03:15;250375106560;87939629056;63.0
08-03-2026 15:03:17;250375106560;87939620864;63.0
08-03-2026 15:03:19;250375106560;87939620864;63.0
08-03-2026 15:03:21;250375106560;87939620864;63.0
08-03-2026 15:03:23;250375106560;87939612672;63.0
08-03-2026 15:03:25;250375106560;87939612672;63.0
08-03-2026 15:03:27;250375106560;87939612672;63.0
08-03-2026 15:03:29;250375106560;87939612672;63.0
08-03-2026 15:03:31;250375106560;87938400256;63.0
08-03-2026 15:03:33;250375106560;87938400256;63.0
08-03-2026 15:03:35;250375106560;87938387968;63.0
08-03-2026 15:03:37;250375106560;87938371584;63.0
08-03-2026 15:03:39;250375106560;87938334720;63.0
08-03-2026 15:03:42;250375106560;87938334720;63.0
08-03-2026 15:03:44;250375106560;87938326528;63.0
08-03-2026 15:03:46;250375106560;87938326528;63.0
08-03-2026 15:03:48;250375106560;87938322432;63.0
08-03-2026 15:03:50;250375106560;87938318336;63.0
08-03-2026 15:03:52;250375106560;87938318336;63.0
08-03-2026 15:03:54;250375106560;87938314240;63.0
08-03-2026 15:03:56;250375106560;87938314240;63.0
08-03-2026 15:03:58;250375106560;87938306048;63.0
08-03-2026 15:04:00;250375106560;87938306048;63.0
08-03-2026 15:04:02;250375106560;87938301952;63.0
08-03-2026 15:04:04;250375106560;87938293760;63.0
08-03-2026 15:04:06;250375106560;87938310144;63.0
08-03-2026 15:04:08;250375106560;87938285568;63.0
08-03-2026 15:04:10;250375106560;87938285568;63.0
08-03-2026 15:04:12;250375106560;87938277376;63.0
08-03-2026 15:06:00,250375106560,87936884736,63.0
08-03-2026 15:06:02,250375106560,87936884736,63.0
08-03-2026 15:06:04,250375106560,87936892928,63.0
08-03-2026 15:06:06,250375106560,87936827392,63.0
08-03-2026 15:06:08,250375106560,87936794624,63.0
08-03-2026 15:06:10,250375106560,87936794624,63.0
08-03-2026 15:06:12,250375106560,87936786432,63.0
08-03-2026 15:06:14,250375106560,87936778240,63.0
08-03-2026 15:06:16,250375106560,87936778240,63.0
08-03-2026 15:06:18,250375106560,87936774144,63.0
08-03-2026 15:06:20,250375106560,87936774144,63.0
08-03-2026 15:06:22,250375106560,87936774144,63.0
08-03-2026 15:06:24,250375106560,87936761856,63.0
08-03-2026 15:06:26,250375106560,87936753664,63.0
08-03-2026 15:06:28,250375106560,87936741376,63.0
08-03-2026 15:35:21,250375106560,87918952448,63.0
08-03-2026 15:36:09,250375106560,87918559232,63.0
08-03-2026 15:43:23,250375106560,87917596672,63.0
08-03-2026 15:44:25,250375106560,87917330432,63.0
08-03-2026 15:44:30,250375106560,87917318144,63.0
08-03-2026 15:44:34,250375106560,87917309952,63.0
08-03-2026 15:44:36,250375106560,87917301760,63.0
08-03-2026 15:44:38,250375106560,87917301760,63.0
08-03-2026 15:44:40,250375106560,87917301760,63.0
08-03-2026 15:44:42,250375106560,87917297664,63.0
08-03-2026 15:44:44,250375106560,87917285376,63.0
08-03-2026 15:44:46,250375106560,87917281280,63.0
08-03-2026 15:45:00,250375106560,87917223936,63.0
08-03-2026 15:45:02,250375106560,87917219840,63.0
08-03-2026 15:45:04,250375106560,87917219840,63.0
08-03-2026 15:45:06,250375106560,87917182976,63.0
08-03-2026 15:45:08,250375106560,87917158400,63.0
08-03-2026 16:08:40,250375106560,87910199296,63.0
08-03-2026 16:08:42,250375106560,87910199296,63.0
08-03-2026 16:08:44,250375106560,87910191104,63.0
08-03-2026 16:10:19,250375106560,87909351424,63.0
08-03-2026 16:10:21,250375106560,87909351424,63.0
08-03-2026 16:11:05,250375106560,87909150720,63.0
08-03-2026 16:11:07,250375106560,87909126144,63.0
08-03-2026 16:11:09,250375106560,87909076992,63.0
08-03-2026 16:11:11,250375106560,87909064704,63.0
08-03-2026 16:11:13,250375106560,87909060608,63.0
08-03-2026 16:11:31,250375106560,87908880384,63.0
08-03-2026 16:11:33,250375106560,87908880384,63.0
08-03-2026 16:11:39,250375106560,87908872192,63.0
08-03-2026 16:11:41,250375106560,87908872192,63.0
08-03-2026 16:11:43,250375106560,87908872192,63.0
08-03-2026 16:11:45,250375106560,87908868096,63.0
08-03-2026 16:11:47,250375106560,87908868096,63.0
08-03-2026 16:11:49,250375106560,87908859904,63.0
08-03-2026 16:11:51,250375106560,87908872192,63.0
08-03-2026 16:11:53,250375106560,87908872192,63.0
08-03-2026 16:11:55,250375106560,87908868096,63.0
08-03-2026 16:11:57,250375106560,87908872192,63.0
08-03-2026 16:11:59,250375106560,87908847616,63.0
08-03-2026 16:12:01,250375106560,87908847616,63.0
08-03-2026 16:12:03,250375106560,87908839424,63.0
08-03-2026 16:12:05,250375106560,87908835328,63.0
